configuration,surface,coils_per_half_period,total_coils,surface_runtime_s,current_solve_runtime_s,sheet_f_B_T2_m2,sheet_max_abs_Bn_over_B,sheet_Kmax_A_per_m,filament_f_B_T2_m2,filament_max_abs_Bn_over_B,mean_coil_length_m,mean_curvature2_per_m2,maximum_curvature_per_m
QA,normal offset,3,12,0.0,1.1601564169977792,0.0003746241605434201,0.00041886692375040516,8922822.045196146,410.0907021395155,0.2851675256968884,24.164102733958682,0.1036377023380899,0.622235194948279
QA,normal offset,4,16,0.0,1.1601564169977792,0.0003746241605434201,0.00041886692375040516,8922822.045196146,145.32607772611993,0.18344871638657917,24.164310873659737,0.10218161058554721,0.5863029993143495
QA,normal offset,5,20,0.0,1.1601564169977792,0.0003746241605434201,0.00041886692375040516,8922822.045196146,49.78991229101871,0.11055919336788578,24.164324019559032,0.10326307145368199,0.5877723044545383
QA,normal offset,6,24,0.0,1.1601564169977792,0.0003746241605434201,0.00041886692375040516,8922822.045196146,16.848001004354764,0.06878570095190727,24.164608972286402,0.10726272995459459,0.656905639352252
QA,normal offset,7,28,0.0,1.1601564169977792,0.0003746241605434201,0.00041886692375040516,8922822.045196146,5.720315159654739,0.04585619827658926,24.164482904162078,0.10356846883427988,0.5877723044545383
QA,normal offset,8,32,0.0,1.1601564169977792,0.0003746241605434201,0.00041886692375040516,8922822.045196146,1.940181438862695,0.028216153879921553,24.1645259209384,0.10145095385263217,0.5831126005715129
QA,normal offset,9,36,0.0,1.1601564169977792,0.0003746241605434201,0.00041886692375040516,8922822.045196146,0.6657959529828401,0.01754774502357286,24.164460923628255,0.10398155122438064,0.7023968245523887
QA,normal offset,10,40,0.0,1.1601564169977792,0.0003746241605434201,0.00041886692375040516,8922822.045196146,0.23164221033321838,0.010483709194906973,24.164575579575803,0.1138850588350548,14.036074866171894
QA,ESSOS entropy,3,12,0.8160342500050319,0.8850406659767032,0.0006768967990574109,0.000577740159573387,9432022.721824042,412.45771920639714,0.2784818350176433,24.127301424456704,0.10787620208490854,0.6021186962639783
QA,ESSOS entropy,4,16,0.8160342500050319,0.8850406659767032,0.0006768967990574109,0.000577740159573387,9432022.721824042,146.3843650840088,0.1746161412262359,24.124820068521494,0.10737850451643563,0.6919094103844187
QA,ESSOS entropy,5,20,0.8160342500050319,0.8850406659767032,0.0006768967990574109,0.000577740159573387,9432022.721824042,49.885003672024354,0.10946413122400316,24.125343428852165,0.10896689171556218,0.6424242805914637
QA,ESSOS entropy,6,24,0.8160342500050319,0.8850406659767032,0.0006768967990574109,0.000577740159573387,9432022.721824042,16.728486529233493,0.06607794017477943,24.12527381593063,0.10611450963684055,0.6138742984975921
QA,ESSOS entropy,7,28,0.8160342500050319,0.8850406659767032,0.0006768967990574109,0.000577740159573387,9432022.721824042,5.603954472427338,0.04197550174537513,24.125463325457932,0.11057824125647561,4.6886184830651825
QA,ESSOS entropy,8,32,0.8160342500050319,0.8850406659767032,0.0006768967990574109,0.000577740159573387,9432022.721824042,1.873374618768804,0.025468540901435594,24.125236335673918,0.10837238318252612,0.6434543162431992
QA,ESSOS entropy,9,36,0.8160342500050319,0.8850406659767032,0.0006768967990574109,0.000577740159573387,9432022.721824042,0.6356889181049137,0.015755876887258106,24.125253932493624,0.10736827561146883,0.653723541619385
QA,ESSOS entropy,10,40,0.8160342500050319,0.8850406659767032,0.0006768967990574109,0.000577740159573387,9432022.721824042,0.21404908130702924,0.009454226582789538,24.125373424780985,0.10758123775110522,0.8759939713283404
QA,finite-coil SVD,3,12,1.0457897079759277,1.1013689580140635,0.0006260670543623676,0.0005125960232637976,8496697.60708644,375.67567887801124,0.2643280486252354,24.313000920004324,0.10239702347436207,0.5667282063721635
QA,finite-coil SVD,4,16,1.0457897079759277,1.1013689580140635,0.0006260670543623676,0.0005125960232637976,8496697.60708644,130.65824484139623,0.16692034093808983,24.313690310480396,0.10562449079374336,0.5936644059070809
QA,finite-coil SVD,5,20,1.0457897079759277,1.1013689580140635,0.0006260670543623676,0.0005125960232637976,8496697.60708644,43.53384518950744,0.09867812223317227,24.31374232930354,0.10511960008497012,0.5915111664608668
QA,finite-coil SVD,6,24,1.0457897079759277,1.1013689580140635,0.0006260670543623676,0.0005125960232637976,8496697.60708644,14.243844450146039,0.06301719626253276,24.313720927282464,0.10345542968199606,0.6263301359320257
QA,finite-coil SVD,7,28,1.0457897079759277,1.1013689580140635,0.0006260670543623676,0.0005125960232637976,8496697.60708644,4.648149775216805,0.03817309256405817,24.31371230853319,0.10424660868313287,0.5757894057230456
QA,finite-coil SVD,8,32,1.0457897079759277,1.1013689580140635,0.0006260670543623676,0.0005125960232637976,8496697.60708644,1.512719881376269,0.023516687752635133,24.313779187534045,0.1055144981858187,1.3738902140231046
QA,finite-coil SVD,9,36,1.0457897079759277,1.1013689580140635,0.0006260670543623676,0.0005125960232637976,8496697.60708644,0.4981370986093372,0.014038160945959426,24.31371664969685,0.10302887031009615,0.6367261074454208
QA,finite-coil SVD,10,40,1.0457897079759277,1.1013689580140635,0.0006260670543623676,0.0005125960232637976,8496697.60708644,0.1647803649609579,0.008767955257998625,24.31365417846397,0.10262648533393381,1.4219540117543648
QH,normal offset,3,24,0.0,0.9020100840134546,25.199291771057762,0.06434329535552157,10000000.000000427,327.8358902269953,0.22543648764245483,22.442279578303857,0.10747988271747115,0.9073146744307697
