solver,runtime_s,converged,sheet_f_B_T2_m2,achieved_Kmax_A_per_m,filament_f_B_T2_m2,filament_max_abs_Bn_over_B
ESSOS,1.7143919579975773,True,0.0006015961965853972,8495912.792562904,130.65836356657886,0.1668376742618894
REGCOIL,0.18485783401411027,True,0.0006015961669838717,8495918.657227127,130.65836802651557,0.16683769804666929
QUADCOIL,18.39200062499731,True,0.0006272638925085105,8496803.498393707,130.65801118410127,0.16690802061990223
