radius_m,flux_radius_m,alpha,beta_axis,beta_total,delta_R_phi0_m,delta_Z_phi0_m,max_abs_delta_R_m,max_abs_delta_Z_m,delta_length_over_L,iota_axis_lab,reported_toroidal_current_A,wout_edge_flux_relative_error,fsqr,fsqz,fsql,interface_tangential_jump_max_over_B,interface_pressure_balance_max_rel
0.011906558436971536,0.011906558436971536,0.016359225509880067,3.4994894201238467e-06,1.7505307608991382e-06,-1.4244082964243177e-06,0.0,2.2783088670097484e-06,4.634128623892675e-07,-3.09183892563818e-07,-0.21293094568284893,1.9508227566450605e-12,1.7040641695532507e-15,9.421340295008683e-11,5.131066310289021e-11,4.512373701311745e-12,0.0013931858590289282,0.00020395045915574288
0.011906558436971536,0.011906558436971536,0.032718451019760134,6.9989937116328335e-06,3.5010670676510303e-06,-2.7180451456221277e-06,0.0,4.353226491615736e-06,8.556989156000006e-07,-5.905844843552712e-07,-0.21294818467676715,2.0117032497289633e-13,1.7040641695532507e-15,9.957299250136375e-11,7.084134603597635e-11,5.9532849710515865e-12,0.0013849261404006348,0.00020476226829712065
0.011906558436971536,0.011906558436971536,0.06543690203952027,1.3998077568907837e-05,7.002160043656025e-06,-3.980965249006374e-06,0.0,6.395115454638223e-06,1.2195527207548018e-06,-8.630665256494096e-07,-0.21293736918392897,9.788524496707508e-13,1.7040641695532507e-15,8.905185383560503e-11,6.874228767430761e-11,5.819636061434931e-12,0.0013764792355375024,0.0002037224127492629
0.011906558436971536,0.011906558436971536,0.13087380407904053,2.7996532291682022e-05,1.4004429390494378e-05,-5.20446621199433e-06,0.0,8.40548305702793e-06,1.5578200563276523e-06,-1.1200480746523293e-06,-0.21292572132924262,9.714409113822757e-13,1.7040641695532507e-15,8.005212964329265e-11,6.57766245924267e-11,5.634272706213652e-12,0.0013679703149882055,0.00020276034752090828
0.011906558436971536,0.011906558436971536,0.26174760815808107,5.5994590904665686e-05,2.8009307429493543e-05,-6.330997957437745e-06,0.0,1.031881376245547e-05,1.8665926484612294e-06,-1.3397839219032968e-06,-0.212892489680615,-9.380889890841376e-13,1.7040641695532507e-15,9.73681168011417e-11,9.962072793596834e-11,8.1109323273199e-12,0.0013597789769867188,0.0001941022138890515
0.01486784368355039,0.01486784368355039,0.013100896045368505,4.371307866324825e-06,2.187220688450261e-06,-2.1421469935667403e-06,0.0,2.6365869049138624e-06,1.032440592588224e-06,-4.955579484685554e-07,-0.21240148643021445,1.1964340379966992e-13,-1.4050990402165956e-15,9.669391970758385e-11,6.192699182419329e-11,7.999922677398822e-12,0.0017620222886099342,0.00026307950363603267
0.01486784368355039,0.01486784368355039,0.02620179209073701,8.742638585687912e-06,4.374450293905432e-06,-4.129884391579353e-06,0.0,5.110534475494255e-06,1.9793847474136594e-06,-9.525010113154116e-07,-0.2124159264850312,-8.862082210648117e-13,-1.4050990402165956e-15,9.183908385934599e-11,9.74663584541553e-11,9.200549468778675e-12,0.0017514493823648867,0.00025776259570656944
0.01486784368355039,0.01486784368355039,0.05240358418147402,1.7485414640934963e-05,8.748941048469322e-06,-6.064852557940981e-06,0.0,7.560586268717806e-06,2.8938851093091023e-06,-1.3892193703404756e-06,-0.21240204607964297,1.2049043674692422e-12,-1.4050990402165956e-15,8.068677308504037e-11,9.20845618052552e-11,8.918794357370155e-12,0.0017414097370682972,0.00025567074525009964
0.01486784368355039,0.01486784368355039,0.10480716836294804,3.497143194429453e-05,1.749805370612349e-05,-7.870253779573844e-06,0.0,9.913664492100516e-06,3.7445945697267558e-06,-1.7780683189601127e-06,-0.21236987751511482,1.545835128739098e-13,-1.4050990402165956e-15,9.192888154764645e-11,9.829464424957893e-11,9.187196961306341e-12,0.001731980970735527,0.000252192350005321
0.01486784368355039,0.01486784368355039,0.20961433672589608,6.994526329823075e-05,3.499681040101246e-05,-9.580384341623116e-06,0.0,1.2268204189092025e-05,4.556089863702595e-06,-2.106752101912554e-06,-0.21235415264346377,-1.979939514206927e-12,-1.4050990402165956e-15,8.447174851373177e-11,9.311411906291159e-11,8.806193305142278e-12,0.001722888455865837,0.0002506285890403754
