coil_segments,coil_sha256,target_field_rms_over_B0,target_gradient_rms_R0_over_B0,target_axis_offset_over_a,seed_surface_Bn_max_over_B,seed_surface_flux_relative_error,floquet_iota_lab,return_map_determinant,winding_iota_at_0_25a_lab,effective_flux_radius_m,enclosed_flux_Wb,puncture_fit_rms12_over_radius
240,41d43bccafad248bca84848f8f5b2ba7e1245b4fe723ee3e30856a669c8539c8,2.430608937355813e-05,0.0006680577775834593,0.0020785412397936213,0.0010609937342883483,2.5422440239841748e-05,-0.2123398806050215,1.0000000829202904,-0.2137142453349461,0.017811489641144835,0.0009966676405816423,0.0009868874267955502
480,41d43bccafad248bca84848f8f5b2ba7e1245b4fe723ee3e30856a669c8539c8,2.430608937352403e-05,0.0006680577775834995,0.0020785412397566136,0.0010609937342882932,2.5422440239841748e-05,-0.21233988060545128,1.0000000829003362,-0.21371424533430594,0.01781148964129694,0.0009966676405986645,0.0009868874274004671
960,41d43bccafad248bca84848f8f5b2ba7e1245b4fe723ee3e30856a669c8539c8,2.4306089373535872e-05,0.0006680577775834506,0.0020785412397072702,0.0010609937342882932,2.5422440239841748e-05,-0.2123398806158491,1.0000000829011109,-0.21371424533489766,0.01781148964101863,0.0009966676405675182,0.0009868874279836417
