ns,alpha,vacuum_iota_lab,vacuum_iota_relative_gap,delta_R_phi0_per_alpha_m,delta_R_profile_rms_per_alpha_m,delta_Z_profile_rms_per_alpha_m,delta_length_over_L_per_alpha,max_abs_current_A,wout_sha256,input_sha256
65,0.17497206887434658,-0.2119233931491159,0.0019614189060850732,-8.53421902669633e-05,6.59192655543956e-05,2.9492153965418172e-05,-1.959131193878746e-05,0.0,d309b4d9f2118785c662ed0653b5e03eaf3776d973649ddd458cd7221aa93f9d,16077ae9550f1c5e415b44d7481b8cd1580121148aea96a33ed7a9c43b89364a
129,0.17497206887434658,-0.2110435394321352,0.006105029208925767,-1.4289490602461308e-05,3.1906914424071385e-05,4.0788923089812484e-05,5.063190096074677e-06,0.0,c233d68614ce83dbaf9ae5f4766fe928f92a7b917bc72f312763f0ff53205504,e4d59a85ce25789f531b87cafa5dc398278f899dde7017fb602f8949d12ed780
