radius_m,flux_radius_m,phi_rad,theory_delta_R_per_alpha_m,fit_delta_R_per_alpha_m,theory_delta_Z_per_alpha_m,fit_delta_Z_per_alpha_m
0.011906558436971536,0.011906558436971536,0.0,0.0013368829432966521,-6.611026016556885e-05,-1.5434760018915462e-17,0.0
0.011906558436971536,0.011906558436971536,0.01227184630308513,0.0013370860650996437,-6.608422119114304e-05,8.764462967708201e-06,9.410959269040535e-07
0.011906558436971536,0.011906558436971536,0.02454369260617026,0.0013372891869026353,-6.60061707466711e-05,1.752892593543184e-05,1.8784474082964102e-06
0.011906558436971536,0.011906558436971536,0.03681553890925539,0.001337681722342468,-6.587630962114582e-05,2.629346618075024e-05,2.808285791778725e-06
0.011906558436971536,0.011906558436971536,0.04908738521234052,0.001338291881960799,-6.569497674756614e-05,3.505809521309241e-05,3.72679655002291e-06
0.011906558436971536,0.011906558436971536,0.06135923151542565,0.00133890204157913,-6.546265528835884e-05,4.382272424543458e-05,4.6301025239556606e-06
0.011906558436971536,0.011906558436971536,0.07363107781851078,0.0013398932313612728,-6.517998042629036e-05,5.258737115041023e-05,5.514254122912344e-06
0.011906558436971536,0.011906558436971536,0.0859029241215959,0.0013409127957300824,-6.484774825398091e-05,6.135201938632666e-05,6.375228071498526e-06
0.011906558436971536,0.011906558436971536,0.09817477042468103,0.001342096042172745,-6.446692491655505e-05,7.011636965359014e-05,7.2089357208156145e-06
0.011906558436971536,0.011906558436971536,0.11044661672776616,0.001343528903778033,-6.403865539442287e-05,7.888026551865786e-05,8.011241311566695e-06
0.011906558436971536,0.011906558436971536,0.1227184630308513,0.001344961765383321,-6.356427081912098e-05,8.764416138372559e-05,8.777989908826408e-06
0.011906558436971536,0.011906558436971536,0.1349903093339364,0.0013467552345240942,-6.304529367606992e-05,9.640593987701475e-05,9.505044079416606e-06
0.011906558436971536,0.011906558436971536,0.14726215563702155,0.0013486067324636809,-6.248344034785543e-05,0.00010516737764381085,1.0188327792947748e-05
0.011906558436971536,0.011906558436971536,0.1595340019401067,0.0013505971933674107,-6.188062031308258e-05,0.00011392704983991252,1.0823875525578118e-05
0.011906558436971536,0.011906558436971536,0.1718058482431918,0.0013528740021972535,-6.123893150633092e-05,0.00012268308389034078,1.1407884182760427e-05
0.011906558436971536,0.011906558436971536,0.18407769454627693,0.0013551508110270962,-6.056065210046032e-05,0.00013143911794076904,1.1936765238842412e-05
0.011906558436971536,0.011906558436971536,0.19634954084936207,0.001357770730310385,-5.984822826622143e-05,0.00014018731857074848,1.2407194443819278e-05
0.011906558436971536,0.011906558436971536,0.2086213871524472,0.0013604807160877033,-5.910425850685578e-05,0.00014893346292786013,1.2816156577548847e-05
0.011906558436971536,0.011906558436971536,0.22089323345553233,0.001363304498732509,-5.833147490460048e-05,0.00015767543457353365,1.3160983009747555e-05
0.011906558436971536,0.011906558436971536,0.23316507975861744,0.0013664565415719906,-5.753272178099367e-05,0.00016640536955159736,1.3439380275685988e-05
0.011906558436971536,0.011906558436971536,0.2454369260617026,0.0013696085844114721,-5.671093254543311e-05,0.00017513530452966107,1.3649448419594838e-05
0.011906558436971536,0.011906558436971536,0.25770877236478773,0.0013730871320968181,-5.586910549360053e-05,0.00018384742547569897,1.3789688513965205e-05
0.011906558436971536,0.011906558436971536,0.2699806186678728,0.001376690914517564,-5.501027938978165e-05,0.00019255271364232971,1.3858999435109639e-05
0.011906558436971536,0.011906558436971536,0.28225246497095796,0.0013803816036817864,-5.413750938536008e-05,0.00020125132845987258,1.3856664665908913e-05
0.011906558436971536,0.011906558436971536,0.2945243112740431,0.0013844473640546972,-5.32538440869232e-05,0.00020992114250766765,1.3782330537038168e-05
0.011906558436971536,0.011906558436971536,0.30679615757712825,0.0013885131244276078,-5.236230418013949e-05,0.00021859095655546275,1.363597787237806e-05
0.011906558436971536,0.011906558436971536,0.3190680038802134,0.0013928876407402937,-5.146586307139498e-05,0.0002272287844758987,1.3417889421425389e-05
0.011906558436971536,0.011906558436971536,0.3313398501832985,0.0013974258912634663,-5.056742956312228e-05,0.00023584965005606846,1.3128615748392573e-05
0.011906558436971536,0.011906558436971536,0.3436116964863836,0.001402021522973881,-4.966983253751292e-05,0.00024446275620896543,1.276894234522335e-05
0.011906558436971536,0.011906558436971536,0.35588354278946877,0.0014070427318230072,-4.877580755618769e-05,0.0002530183132762559,1.2339860646402568e-05
0.011906558436971536,0.011906558436971536,0.36815538909255385,0.0014120639406721334,-4.7887984845298226e-05,0.0002615738703435463,1.18425453712401e-05
0.011906558436971536,0.011906558436971536,0.380427235395639,0.0014173731564375413,-4.700887814519905e-05,0.0002700799081131795,1.1278340185855874e-05
0.011906558436971536,0.011906558436971536,0.39269908169872414,0.0014228873940755568,-4.614087392502157e-05,0.0002785506948573619,1.0648753104811506e-05
0.011906558436971536,0.011906558436971536,0.4049709280018093,0.0014284264986672264,-4.5286220124241514e-05,0.0002870161586923409,9.955462380028e-06
0.011906558436971536,0.011906558436971536,0.4172427743048944,0.0014344430487690596,-4.4447013989458826e-05,0.00029537942267061744,9.20033287390009e-06
0.011906558436971536,0.011906558436971536,0.4295146206079795,0.0014404595988708926,-4.362518820482288e-05,0.00030374268664889385,8.385442158040786e-06
0.011906558436971536,0.011906558436971536,0.44178646691106466,0.001446738921946593,-4.2822495160230734e-05,0.000312037103470701,7.51311482983829e-06
0.011906558436971536,0.011906558436971536,0.4540583132141498,0.0014532658580168987,-4.204048877010462e-05,0.00032026664508737353,6.585962893480646e-06
0.011906558436971536,0.011906558436971536,0.4663301595172349,0.0014597927940872043,-4.12805040022309e-05,0.00032849618670404606,5.606929493338115e-06
0.011906558436971536,0.011906558436971536,0.47860200582032003,0.001466826290102323,-4.054363413924635e-05,0.0003365654780629564,4.57933291156569e-06
0.011906558436971536,0.011906558436971536,0.4908738521234052,0.0014738700196516802,-3.983070625635929e-05,0.00034463153204292206,3.506907521038107e-06
0.011906558436971536,0.011906558436971536,0.5031456984264903,0.0014811458999959694,-3.914225529006027e-05,0.0003526098614017532,2.3938383818210155e-06
0.011906558436971536,0.011906558436971536,0.5154175447295755,0.0014887106791072848,-3.847849771647262e-05,0.00036047902234317264,1.2447863711128465e-06
0.011906558436971536,0.011906558436971536,0.5276893910326605,0.0014962754582186003,-3.783930565395911e-05,0.00036834818328459194,6.490109838036661e-08
0.011906558436971536,0.011906558436971536,0.5399612373357456,0.0015043163083276415,-3.722418226920189e-05,0.0003760042298627774,-1.140180557485812e-06
0.011906558436971536,0.011906558436971536,0.5522330836388308,0.0015124037305995037,-3.663223990180898e-05,0.0003836394282967335,-2.3643517650183277e-06
0.011906558436971536,0.011906558436971536,0.5645049299419159,0.0015206871888256946,-3.6062181520502495e-05,0.00039117128823538955,-3.601069569224352e-06
0.011906558436971536,0.011906558436971536,0.5767767762450011,0.0015292956540287998,-3.5512286852178277e-05,0.00039853182382657476,-4.843405041959194e-06
0.011906558436971536,0.011906558436971536,0.5890486225480862,0.0015379041192319048,-3.4980403754186484e-05,0.00040589235941775986,-6.084108681548601e-06
0.011906558436971536,0.011906558436971536,0.6013204688511713,0.0015469465928554457,-3.44639454925634e-05,0.0004129845163090382,-7.315689193178117e-06
0.011906558436971536,0.011906558436971536,0.6135923151542565,0.001556070762181657,-3.395989442937783e-05,0.0004200261548568048,-8.530503033083505e-06
0.011906558436971536,0.011906558436971536,0.6258641614573416,0.0015653502621296087,-3.3464812176506485e-05,0.00042695530396463137,-9.72085153466785e-06
0.011906558436971536,0.011906558436971536,0.6381360077604268,0.001574980508642781,-3.297485605482304e-05,0.0004336304446596905,-1.0879082047061575e-05
0.011906558436971536,0.011906558436971536,0.6504078540635119,0.0015846107551559531,-3.2485801593181296e-05,0.00044030558535474953,-1.1997689269955597e-05
0.011906558436971536,0.011906558436971536,0.662679700366597,0.0015946206672737128,-3.199307055519932e-05,0.00044665851516486796,-1.3069413044934108e-05
0.011906558436971536,0.011906558436971536,0.6749515466696822,0.0016047425320697484,-3.1491763424131936e-05,0.0004529164340730168,-1.4087329044693296e-05
0.011906558436971536,0.011906558436971536,0.6872233929727672,0.001614976508190852,-3.0976695981638914e-05,0.0004590624930260226,-1.5044929268540622e-05
0.011906558436971536,0.011906558436971536,0.6994952392758523,0.0016255701748132164,-3.0442438605052743e-05,0.00046484966795627827,-1.59361898606388e-05
0.011906558436971536,0.011906558436971536,0.7117670855789375,0.0016361638414355809,-2.9883357675669225e-05,0.000470636842886534,-1.6755624500054833e-05
0.011906558436971536,0.011906558436971536,0.7240389318820226,0.001647071127832565,-2.9293658225830597e-05,0.00047605379555301316,-1.7498322512210034e-05
0.011906558436971536,0.011906558436971536,0.7363107781851077,0.0016581109296272757,-2.866742710466054e-05,0.0004813143162770516,-1.815997167674965e-05
0.011906558436971536,0.011906558436971536,0.7485826244881929,0.0016692204441267017,-2.7998676304163824e-05,0.0004864764634648109,-1.87368666500991e-05
0.011906558436971536,0.011906558436971536,0.760854470791278,0.0016806744214023673,-2.7281386165735103e-05,0.0004911525296497791,-1.9225904692231082e-05
0.011906558436971536,0.011906558436971536,0.7731263170943632,0.0016921283986780329,-2.6509548469089322e-05,0.0004958285958347475,-1.962457108758493e-05
0.011906558436971536,0.011906558436971536,0.7853981633974483,0.0017038203474308725,-2.5677209834060543e-05,0.0005000968622506176,-1.9930917201669643e-05
0.011906558436971536,0.011906558436971536,0.7976700097005334,0.0017156498734439533,-2.4778515649012214e-05,0.0005041293694249781,-2.0143534398727283e-05
0.011906558436971536,0.011906558436971536,0.8099418560036186,0.001727512069834592,-2.380775545929889e-05,0.0005080922433535113,-2.0261527207847905e-05
0.011906558436971536,0.011906558436971536,0.8222137023067037,0.0017396715666610036,-2.2759410388202818e-05,0.0005114214547450168,-2.0284488952718687e-05
0.011906558436971536,0.011906558436971536,0.8344855486097889,0.0017518310634874155,-2.162820341994789e-05,0.0005147506661365223,-2.0212482727179948e-05
0.011906558436971536,0.011906558436971536,0.8467573949128739,0.0017641470396212878,-2.0409153220164916e-05,0.0005176493231216436,-2.004603005836945e-05
0.011906558436971536,0.011906558436971536,0.859029241215959,0.0017765838067995154,-1.9097631972772366e-05,0.0005202156223193807,-1.9786108821738746e-05
0.011906558436971536,0.011906558436971536,0.8713010875190442,0.0017890270317937544,-1.7689427529245756e-05,0.0005227575180609845,-1.9434161157816547e-05
0.011906558436971536,0.011906558436971536,0.8835729338221293,0.0018016812121110313,-1.6180809619167888e-05,0.0005245022342355637,-1.8992111160148473e-05
0.011906558436971536,0.011906558436971536,0.8958447801252144,0.0018143353924283082,-1.4568599639254578e-05,0.0005262469504101429,-1.846239116746343e-05
0.011906558436971536,0.011906558436971536,0.9081166264282996,0.0018270640913023103,-1.2850242933219564e-05,0.0005275568041227532,-1.784797456965827e-05
0.011906558436971536,0.011906558436971536,0.9203884727313847,0.0018398687991041719,-1.1023882008252104e-05,0.0005284230981241552,-1.7152412224245405e-05
0.011906558436971536,0.011906558436971536,0.9326603190344698,0.0018526735069060334,-9.088428628252481e-06,0.0005292893921255571,-1.6379868939156618e-05
0.011906558436971536,0.011906558436971536,0.944932165337555,0.0018655520979449984,-7.043632316620124e-06,0.000529260118979809,-1.553515600869956e-05
0.011906558436971536,0.011906558436971536,0.9572040116406401,0.00187843373571539,-4.8901424386116145e-06,0.0005291939152300547,-1.4623755628837029e-05
0.011906558436971536,0.011906558436971536,0.9694758579437253,0.0018913141604242133,-2.629560745988165e-06,0.0005287092702885182,-1.3651833018530874e-05
0.011906558436971536,0.011906558436971536,0.9817477042468103,0.001904192948910455,-2.6448121522339e-07,0.0005276602162976011,-1.2626232469273363e-05
0.011906558436971536,0.011906558436971536,0.9940195505498954,0.001917071737396697,2.201485966062107e-06,0.0005266111623066841,-1.1554454089750125e-05
0.011906558436971536,0.011906558436971536,1.0062913968529805,0.0019298720718195189,4.763709074312396e-06,0.0005246456115492608,-1.0444608852415245e-05
0.011906558436971536,0.011906558436971536,1.0185632431560658,0.0019426628174123673,7.416550759356589e-06,0.0005225680445203755,-9.30535057851985e-06
0.011906558436971536,0.011906558436971536,1.030835089459151,0.0019553902509434743,1.0153406910348169e-05,0.0005201096138593934,-8.145784649559832e-06
0.011906558436971536,0.011906558436971536,1.043106935762236,0.001968003371029771,1.2966769671681914e-05,0.0005169635127515696,-6.975354464684732e-06
0.011906558436971536,0.011906558436971536,1.055378782065321,0.0019806164911160677,1.584831469073242e-05,0.0005138174116437457,-5.803707939663523e-06
0.011906558436971536,0.011906558436971536,1.0676506283684062,0.0019930074851390294,1.8789011891258563e-05,0.0005097657093349406,-4.640547513445609e-06
0.011906558436971536,0.011906558436971536,1.0799224746714913,0.002005350307244641,2.17792577867949e-05,0.0005055176115849589,-3.495468178156959e-06
0.011906558436971536,0.011906558436971536,1.0921943209745766,0.0020175884769440032,2.4809026488972625e-05,0.000500945622135998,-2.3777889489490115e-06
0.011906558436971536,0.011906558436971536,1.1044661672776617,0.002029566819979573,2.7868035398593953e-05,0.000495569487779227,-1.2963837649175935e-06
0.011906558436971536,0.011906558436971536,1.1167380135807468,0.0020415451630151427,3.0945920816771997e-05,0.000490193353422456,-2.5951817261761685e-07
0.011906558436971536,0.011906558436971536,1.1290098598838318,0.002053178640439465,3.403241779003055e-05,0.0004839549932919619,7.253018729664852e-07
0.011906558436971536,0.011906558436971536,1.141281706186917,0.0020646986752285088,3.711753812033399e-05,0.00047743300626221685,1.651463021749655e-06
0.011906558436971536,0.011906558436971536,1.1535535524900022,0.002076098981064479,4.0191740061204696e-05,0.0004706594992458609,2.513353977112139e-06
0.011906558436971536,0.011906558436971536,1.1658253987930873,0.0020870693511144105,4.3246083282792554e-05,0.0004629828068230393,3.306446855729372e-06
0.011906558436971536,0.011906558436971536,1.1780972450961724,0.0020980397211643417,4.627236289815263e-05,0.00045530611440021765,4.027347116605515e-06
0.011906558436971536,0.011906558436971536,1.1903690913992575,0.0021085754528115384,4.9263216976474364e-05,0.0004468411135626847,4.673810076692712e-06
0.011906558436971536,0.011906558436971536,1.2026409377023426,0.002118909613025583,5.221220269972755e-05,0.00043801052041687985,5.244723458881577e-06
0.011906558436971536,0.011906558436971536,1.214912784005428,0.0021291375165302866,5.5113837630744035e-05,0.00042901021121763167,5.740056961626817e-06
0.011906558436971536,0.011906558436971536,1.227184630308513,0.002138756214901433,5.796360371330941e-05,0.0004190368633119761,6.160781279784967e-06
0.011906558436971536,0.011906558436971536,1.239456476611598,0.0021483749132725797,6.075791315070961e-05,0.0004090635154063206,6.508760393408227e-06
0.011906558436971536,0.011906558436971536,1.2517283229146832,0.0021575117824313775,6.349403707017282e-05,0.00039840231169645246,6.786622085864181e-06
0.011906558436971536,0.011906558436971536,1.2640001692177683,0.0021663455654727295,6.61699991946847e-05,0.00038730842449683775,6.997612598987454e-06
0.011906558436971536,0.011906558436971536,1.2762720155208536,0.0021751126382454694,6.878443872084536e-05,0.00037612848471152915,7.14544195634837e-06
0.011906558436971536,0.011906558436971536,1.2885438618239387,0.00218310420414559,7.133644762102858e-05,0.0003639481836175322,7.234126775388732e-06
