configuration,surface_method,method,resolution,sheet_f_B_T2_m2,achieved_Kmax_A_per_m
Landreman-Paul QA,REGCOIL adjoint,REGCOIL,64,0.00043803949563523705,8835630.860886686
Landreman-Paul QH,normal offset,ESSOS,48,25.19960408977264,9999983.965276398
Landreman-Paul QH,normal offset,ESSOS,56,25.199651054103107,9999983.965276398
Landreman-Paul QH,normal offset,ESSOS,64,25.199659139616834,9999983.965276398
Landreman-Paul QH,normal offset,REGCOIL,48,25.199295363394498,9999999.999999892
Landreman-Paul QH,normal offset,REGCOIL,56,25.199342327181242,9999999.999999892
Landreman-Paul QH,normal offset,REGCOIL,64,25.19935041258937,9999999.999999892
Landreman-Paul QH,ESSOS entropy,REGCOIL,48,17.481663433923472,10000000.000000007
Landreman-Paul QH,ESSOS entropy,REGCOIL,56,17.481622562732554,10000000.000000007
Landreman-Paul QH,ESSOS entropy,REGCOIL,64,17.481631462764895,10000000.000000007
Landreman-Paul QH,ESSOS Pareto,ESSOS,48,6.263377237955128,9999984.018176878
Landreman-Paul QH,ESSOS Pareto,ESSOS,56,6.263403851421026,9999984.018176878
Landreman-Paul QH,ESSOS Pareto,ESSOS,64,6.2634016083742505,9999984.018176878
Landreman-Paul QH,ESSOS Pareto,REGCOIL,48,6.26326837786259,10000000.0
Landreman-Paul QH,ESSOS Pareto,REGCOIL,56,6.263294991344825,10000000.0
Landreman-Paul QH,ESSOS Pareto,REGCOIL,64,6.263292748295791,10000000.0
Landreman-Paul QH,REGCOIL adjoint,REGCOIL,48,17.924533103660707,10000000.0
Landreman-Paul QH,REGCOIL adjoint,REGCOIL,56,17.92456457215225,10000000.0
Landreman-Paul QH,REGCOIL adjoint,REGCOIL,64,17.924569309732036,10000000.0
W7-X,normal offset,ESSOS,48,4.500883703408207,9993068.528194577
W7-X,normal offset,ESSOS,56,4.500917193908677,12252242.316055976
W7-X,normal offset,ESSOS,64,4.500919467241367,13030573.324903667
W7-X,normal offset,REGCOIL,48,4.496446683092342,10000000.000000032
W7-X,normal offset,REGCOIL,56,4.496480097962884,12260797.245144255
W7-X,normal offset,REGCOIL,64,4.496482363441936,13040320.17856318
W7-X,ESSOS entropy,REGCOIL,48,7.119007399448068,9999999.999995885
W7-X,ESSOS entropy,REGCOIL,56,7.119115457295366,6516545.778913745
W7-X,ESSOS entropy,REGCOIL,64,7.119138091248577,7233411.691148505
W7-X,ESSOS Pareto,ESSOS,48,0.6332355376090449,9993068.364142977
W7-X,ESSOS Pareto,ESSOS,56,0.6332355612535248,10771026.231231004
W7-X,ESSOS Pareto,ESSOS,64,0.6332355628225674,11153668.515313711
W7-X,ESSOS Pareto,REGCOIL,48,0.6316522846625989,10000000.000000026
W7-X,ESSOS Pareto,REGCOIL,56,0.6316523082862766,10779049.796203548
W7-X,ESSOS Pareto,REGCOIL,64,0.6316523098530427,11161822.608252108
W7-X,REGCOIL adjoint,REGCOIL,48,7.9732377838071695,10000000.000009747
W7-X,REGCOIL adjoint,REGCOIL,56,7.973285818365006,6171080.908271228
W7-X,REGCOIL adjoint,REGCOIL,64,7.9732963813677635,6966533.886594416
Landreman-Paul QA,normal offset (this machine),REGCOIL,48,0.0003607768510497365,8917108.98041098
Landreman-Paul QA,normal offset (this machine),REGCOIL,56,0.00042800902437841295,8917571.899957506
Landreman-Paul QA,normal offset (this machine),REGCOIL,64,0.00045044082519641216,8912356.236408347
Landreman-Paul QA,ESSOS entropy (this machine),REGCOIL,48,0.0006546701326868614,9425795.049262054
Landreman-Paul QA,ESSOS entropy (this machine),REGCOIL,56,0.0006920190142534655,9434896.438906183
Landreman-Paul QA,ESSOS entropy (this machine),REGCOIL,64,0.0007008127036301275,9423294.705483321
Landreman-Paul QA,ESSOS Fourier entropy,REGCOIL,48,0.0004896123482193305,9067740.189674051
Landreman-Paul QA,ESSOS Fourier entropy,REGCOIL,56,0.0005114908242444974,9056262.743159102
Landreman-Paul QA,ESSOS Fourier entropy,REGCOIL,64,0.0005162205146722579,9066596.983417805
Landreman-Paul QH,normal offset (this machine),REGCOIL,48,25.19929536339218,9999999.999999873
Landreman-Paul QH,normal offset (this machine),REGCOIL,56,25.199342327178755,9999999.999999873
Landreman-Paul QH,normal offset (this machine),REGCOIL,64,25.199350412587332,9999999.999999873
Landreman-Paul QH,ESSOS entropy (this machine),REGCOIL,48,17.481663433923515,10000000.0
Landreman-Paul QH,ESSOS entropy (this machine),REGCOIL,56,17.481622562732362,10000000.0
Landreman-Paul QH,ESSOS entropy (this machine),REGCOIL,64,17.48163146276505,10000000.0
Landreman-Paul QH,ESSOS Fourier entropy,REGCOIL,48,11.900412015180045,9999999.999994105
Landreman-Paul QH,ESSOS Fourier entropy,REGCOIL,56,11.900429704700798,9999999.999994105
Landreman-Paul QH,ESSOS Fourier entropy,REGCOIL,64,11.90043149548383,9999999.999994105
W7-X,normal offset (this machine),REGCOIL,48,2.7851992608216296,10000000.000000006
W7-X,normal offset (this machine),REGCOIL,56,2.7851991751547778,9812743.644197475
W7-X,ESSOS entropy (this machine),REGCOIL,48,2.37305375912793,10000000.000000019
W7-X,ESSOS entropy (this machine),REGCOIL,56,2.373053559282372,9087401.577937562
W7-X,ESSOS entropy (this machine),REGCOIL,64,2.373053553461615,8255687.564471957
W7-X,ESSOS Fourier entropy,REGCOIL,48,2.000548860081555,10000000.000000045
W7-X,ESSOS Fourier entropy,REGCOIL,56,2.0005486457435993,8310104.763539825
W7-X,ESSOS Fourier entropy,REGCOIL,64,2.000548642166642,10680917.567235658
